"Time (s) Run #1";"Temperature 1 (°C) Run #1";"Temperature 2 (°C) Run #1";"Temperature 3 (°C) Run #1";"Time (s) Run #2";"Temperature 1 (°C) Run #2";"Temperature 2 (°C) Run #2";"Temperature 3 (°C) Run #2"
15,800;73,68;75,15;72,43;15,800;77,10;80,65;77,21
15,850;73,68;75,15;72,43;15,850;77,10;80,65;77,21
15,900;73,68;75,15;72,43;15,900;77,09;80,65;77,21
15,950;73,67;75,15;72,43;15,950;77,10;80,65;77,20
16,000;73,68;75,15;72,43;16,000;77,09;80,65;77,21
16,050;73,68;75,15;72,43;16,050;77,10;80,65;77,21
16,100;73,67;75,15;72,43;16,100;77,09;80,65;77,21
16,150;73,67;75,15;72,43;16,150;77,09;80,65;77,20
16,200;73,67;75,15;72,43;16,200;77,09;80,65;77,20
16,250;73,67;75,15;72,43;16,250;77,09;80,65;77,20
16,300;73,67;75,15;72,43;16,300;77,09;80,65;77,20
16,350;73,67;75,15;72,43;16,350;77,09;80,65;77,20
16,400;73,67;75,15;72,42;16,400;77,08;80,65;77,20
16,450;73,67;75,15;72,43;16,450;77,08;80,65;77,20
16,500;73,67;75,14;72,42;16,500;77,08;80,65;77,20
16,550;73,67;75,15;72,43;16,550;77,08;80,65;77,20
16,600;73,66;75,14;72,43;16,600;77,08;80,65;77,20
16,650;73,66;75,15;72,43;16,650;77,08;80,66;77,20
16,700;73,66;75,15;72,42;16,700;77,08;80,66;77,20
16,750;73,66;75,15;72,42;16,750;77,08;80,66;77,20
16,800;73,66;75,15;72,42;16,800;77,07;80,65;77,20
16,850;73,66;75,15;72,42;16,850;77,07;80,66;77,19
16,900;73,66;75,15;72,42;16,900;77,07;80,66;77,20
16,950;73,66;75,14;72,42;16,950;77,07;80,65;77,20
17,000;73,66;75,15;72,42;17,000;77,07;80,66;77,20
17,050;73,65;75,15;72,42;17,050;77,07;80,66;77,20
17,100;73,66;75,14;72,42;17,100;77,07;80,66;77,20
17,150;73,66;75,15;72,42;17,150;77,07;80,66;77,20
17,200;73,66;75,14;72,42;17,200;77,07;80,66;77,20
17,250;73,65;75,15;72,42;17,250;77,07;80,66;77,19
17,300;73,65;75,14;72,42;17,300;77,06;80,66;77,19
17,350;73,65;75,14;72,41;17,350;77,06;80,66;77,19
17,400;73,65;75,15;72,41;17,400;77,06;80,66;77,19
17,450;73,65;75,15;72,41;17,450;77,06;80,66;77,19
17,500;73,65;75,15;72,41;17,500;77,06;80,65;77,20
17,550;73,65;75,14;72,41;17,550;77,06;80,66;77,19
17,600;73,65;75,14;72,41;17,600;77,05;80,66;77,19
17,650;73,64;75,14;72,41;17,650;77,05;80,66;77,19
17,700;73,64;75,14;72,41;17,700;77,05;80,66;77,19
17,750;73,64;75,14;72,41;17,750;77,05;80,66;77,19
17,800;73,65;75,14;72,41;17,800;77,05;80,66;77,19
17,850;73,64;75,14;72,40;17,850;77,05;80,66;77,19
17,900;73,64;75,14;72,41;17,900;77,05;80,66;77,19
17,950;73,64;75,14;72,41;17,950;77,05;80,66;77,19
18,000;73,64;75,14;72,41;18,000;77,05;80,66;77,19
18,050;73,64;75,14;72,41;18,050;77,05;80,66;77,19
18,100;73,64;75,14;72,40;18,100;77,05;80,66;77,19
18,150;73,64;75,14;72,40;18,150;77,05;80,66;77,19
18,200;73,64;75,14;72,40;18,200;77,04;80,66;77,19
18,250;73,64;75,14;72,40;18,250;77,05;80,66;77,19
18,300;73,64;75,14;72,40;18,300;77,04;80,66;77,19
18,350;73,63;75,14;72,40;18,350;77,04;80,66;77,18
18,400;73,63;75,14;72,40;18,400;77,04;80,66;77,18
18,450;73,63;75,14;72,40;18,450;77,04;80,66;77,19
18,500;73,63;75,14;72,40;18,500;77,04;80,66;77,18
18,550;73,63;75,14;72,40;18,550;77,04;80,66;77,18
18,600;73,63;75,14;72,40;18,600;77,04;80,66;77,18
18,650;73,63;75,14;72,40;18,650;77,04;80,66;77,18
18,700;73,63;75,14;72,40;18,700;77,03;80,66;77,18
18,750;73,62;75,14;72,40;18,750;77,03;80,66;77,18
18,800;73,62;75,14;72,40;18,800;77,04;80,66;77,18
18,850;73,62;75,14;72,39;18,850;77,03;80,66;77,18
18,900;73,62;75,14;72,40;18,900;77,03;80,66;77,18
18,950;73,62;75,14;72,39;18,950;77,03;80,66;77,18
19,000;73,62;75,14;72,39;19,000;77,03;80,66;77,18
19,050;73,62;75,14;72,40;19,050;77,03;80,66;77,17
19,100;73,62;75,14;72,39;19,100;77,03;80,66;77,18
19,150;73,62;75,14;72,39;19,150;77,02;80,66;77,17
19,200;73,62;75,14;72,39;19,200;77,02;80,66;77,17
19,250;73,62;75,14;72,39;19,250;77,02;80,65;77,17
19,300;73,62;75,14;72,39;19,300;77,02;80,66;77,17
19,350;73,62;75,14;72,39;19,350;77,02;80,66;77,17
19,400;73,61;75,14;72,39;19,400;77,02;80,66;77,17
19,450;73,61;75,14;72,39;19,450;77,02;80,66;77,17
19,500;73,61;75,14;72,39;19,500;77,02;80,66;77,17
19,550;73,61;75,14;72,39;19,550;77,01;80,66;77,17
19,600;73,61;75,14;72,39;19,600;77,01;80,65;77,17
19,650;73,61;75,14;72,39;19,650;77,02;80,66;77,17
19,700;73,61;75,14;72,39;19,700;77,01;80,65;77,17
19,750;73,61;75,14;72,38;19,750;77,01;80,65;77,17
