"Time (s) Run #1";"Temperature 1 (°C) Run #1";"Temperature 2 (°C) Run #1";"Temperature 3 (°C) Run #1";"Time (s) Run #2";"Temperature 1 (°C) Run #2";"Temperature 2 (°C) Run #2";"Temperature 3 (°C) Run #2";"Time (s) Run #3";"Temperature 1 (°C) Run #3";"Temperature 2 (°C) Run #3";"Temperature 3 (°C) Run #3"
12,800;72,57;75,20;74,26;12,800;56,19;55,99;55,86;12,800;86,04;85,52;84,74
12,850;72,58;75,20;74,26;12,850;56,19;55,99;55,86;12,850;86,05;85,51;84,75
12,900;72,57;75,21;74,26;12,900;56,19;55,99;55,86;12,900;86,05;85,51;84,74
12,950;72,59;75,21;74,26;12,950;56,20;55,99;55,86;12,950;86,04;85,51;84,74
13,000;72,58;75,21;74,26;13,000;56,20;55,99;55,86;13,000;86,04;85,51;84,74
13,050;72,58;75,21;74,26;13,050;56,20;55,99;55,87;13,050;86,04;85,51;84,74
13,100;72,58;75,21;74,26;13,100;56,20;56,00;55,87;13,100;86,04;85,51;84,74
13,150;72,59;75,21;74,26;13,150;56,21;56,00;55,87;13,150;86,05;85,51;84,74
13,200;72,59;75,21;74,26;13,200;56,21;56,00;55,87;13,200;86,05;85,51;84,74
13,250;72,59;75,20;74,26;13,250;56,21;56,00;55,88;13,250;86,04;85,51;84,74
13,300;72,59;75,21;74,26;13,300;56,21;56,00;55,87;13,300;86,04;85,50;84,74
13,350;72,59;75,21;74,26;13,350;56,21;56,00;55,88;13,350;86,05;85,50;84,74
13,400;72,59;75,21;74,26;13,400;56,22;56,00;55,88;13,400;86,04;85,50;84,74
13,450;72,59;75,21;74,26;13,450;56,22;56,00;55,88;13,450;86,04;85,50;84,74
13,500;72,59;75,21;74,26;13,500;56,22;56,00;55,88;13,500;86,04;85,49;84,74
13,550;72,59;75,21;74,26;13,550;56,22;56,01;55,88;13,550;86,04;85,50;84,75
