"Time (s) Run #1";"Temperature 1 (°C) Run #1";"Temperature 2 (°C) Run #1";"Temperature 3 (°C) Run #1"
26,800;75,11;76,24;79,24
26,850;75,11;76,24;79,23
26,900;75,10;76,24;79,24
26,950;75,10;76,24;79,23
27,000;75,10;76,23;79,23
27,050;75,10;76,24;79,23
27,100;75,10;76,23;79,23
27,150;75,10;76,23;79,23
27,200;75,10;76,23;79,22
27,250;75,09;76,23;79,22
27,300;75,09;76,23;79,22
27,350;75,09;76,23;79,22
27,400;75,09;76,23;79,22
27,450;75,09;76,22;79,22
27,500;75,09;76,22;79,21
27,550;75,09;76,22;79,22
27,600;75,08;76,22;79,22
27,650;75,09;76,21;79,21
27,700;75,08;76,21;79,21
27,750;75,08;76,21;79,21
27,800;75,08;76,21;79,21
27,850;75,07;76,21;79,21
27,900;75,08;76,21;79,20
27,950;75,08;76,20;79,21
28,000;75,07;76,21;79,20
28,050;75,07;76,20;79,20
28,100;75,07;76,20;79,20
28,150;75,06;76,20;79,20
28,200;75,06;76,20;79,20
28,250;75,06;76,20;79,19
28,300;75,06;76,20;79,19
28,350;75,06;76,19;79,19
28,400;75,06;76,20;79,19
28,450;75,06;76,19;79,19
28,500;75,05;76,20;79,19
28,550;75,05;76,19;79,19
28,600;75,05;76,19;79,19
28,650;75,05;76,19;79,18
28,700;75,04;76,19;79,19
28,750;75,04;76,19;79,18
28,800;75,04;76,19;79,18
28,850;75,04;76,18;79,18
28,900;75,04;76,18;79,18
28,950;75,04;76,18;79,18
29,000;75,03;76,18;79,17
29,050;75,03;76,18;79,17
29,100;75,03;76,18;79,17
29,150;75,03;76,18;79,17
29,200;75,03;76,18;79,17
29,250;75,02;76,17;79,17
29,300;75,02;76,17;79,17
29,350;75,02;76,17;79,17
29,400;75,02;76,17;79,17
29,450;75,02;76,17;79,17
29,500;75,01;76,17;79,16
29,550;75,01;76,17;79,16
29,600;75,01;76,17;79,16
29,650;75,00;76,16;79,16
29,700;75,00;76,17;79,16
29,750;75,00;76,16;79,16
29,800;75,00;76,16;79,15
29,850;75,00;76,16;79,15
29,900;75,00;76,16;79,15
29,950;75,00;76,15;79,15
30,000;74,99;76,16;79,15
30,050;74,99;76,15;79,15
30,100;74,99;76,15;79,15
30,150;74,98;76,15;79,15
30,200;74,98;76,15;79,15
30,250;74,98;76,15;79,15
30,300;74,98;76,15;79,15
30,350;74,98;76,14;79,15
30,400;74,97;76,14;79,14
30,450;74,97;76,14;79,15
30,500;74,97;76,14;79,14
30,550;74,97;76,13;79,14
30,600;74,97;76,13;79,14
30,650;74,96;76,13;79,14
30,700;74,96;76,13;79,14
30,750;74,96;76,13;79,14
30,800;74,96;76,13;79,14
30,850;74,96;76,13;79,14
30,900;74,95;76,13;79,14
30,950;74,95;76,12;79,14
31,000;74,95;76,12;79,14
31,050;74,95;76,12;79,14
31,100;74,95;76,12;79,14
31,150;74,94;76,11;79,14
31,200;74,94;76,12;79,14
31,250;74,94;76,11;79,14
31,300;74,93;76,11;79,14
31,350;74,93;76,11;79,14
31,400;74,94;76,11;79,14
31,450;74,93;76,10;79,14
31,500;74,93;76,10;79,14
31,550;74,93;76,10;79,14
31,600;74,93;76,10;79,14
31,650;74,92;76,10;79,14
31,700;74,92;76,09;79,14
31,750;74,92;76,09;79,13
31,800;74,91;76,09;79,14
31,850;74,91;76,09;79,14
31,900;74,91;76,09;79,14
31,950;74,91;76,09;79,14
32,000;74,91;76,08;79,13
32,050;74,91;76,08;79,14
32,100;74,90;76,08;79,13
32,150;74,90;76,08;79,14
32,200;74,90;76,07;79,14
32,250;74,90;76,07;79,14
32,300;74,89;76,07;79,13
32,350;74,89;76,07;79,13
32,400;74,89;76,07;79,14
32,450;74,89;76,06;79,14
32,500;74,89;76,06;79,14
32,550;74,88;76,06;79,13
32,600;74,88;76,06;79,14
32,650;74,88;76,06;79,13
32,700;74,88;76,06;79,13
32,750;74,88;76,05;79,13
32,800;74,87;76,05;79,13
32,850;74,87;76,05;79,13
32,900;74,87;76,05;79,13
32,950;74,87;76,05;79,13
33,000;74,87;76,05;79,13
33,050;74,86;76,04;79,13
33,100;74,86;76,04;79,13
33,150;74,86;76,04;79,13
33,200;74,86;76,04;79,13
33,250;74,86;76,04;79,13
33,300;74,85;76,03;79,13
33,350;74,85;76,04;79,13
33,400;74,85;76,03;79,13
33,450;74,85;76,03;79,13
33,500;74,85;76,03;79,13
33,550;74,84;76,03;79,13
33,600;74,84;76,03;79,13
33,650;74,84;76,02;79,13
33,700;74,84;76,02;79,12
33,750;74,84;76,02;79,13
33,800;74,83;76,02;79,13
33,850;74,83;76,02;79,12
33,900;74,83;76,02;79,12
33,950;74,82;76,02;79,12
34,000;74,82;76,02;79,12
34,050;74,82;76,02;79,12
34,100;74,82;76,02;79,12
34,150;74,82;76,01;79,12
34,200;74,82;76,01;79,12
34,250;74,82;76,02;79,12
34,300;74,81;76,01;79,12
34,350;74,81;76,01;79,11
34,400;74,81;76,01;79,11
34,450;74,81;76,01;79,12
34,500;74,81;76,01;79,11
34,550;74,81;76,01;79,11
34,600;74,80;76,01;79,11
34,650;74,80;76,01;79,11
34,700;74,80;76,01;79,11
34,750;74,80;76,01;79,11
34,800;74,80;76,01;79,11
34,850;74,79;76,01;79,11
34,900;74,79;76,01;79,11
34,950;74,80;76,01;79,11
35,000;74,79;76,01;79,10
35,050;74,79;76,01;79,11
35,100;74,79;76,01;79,10
35,150;74,79;76,01;79,10
35,200;74,78;76,01;79,11
35,250;74,78;76,01;79,10
35,300;74,78;76,01;79,10
35,350;74,78;76,01;79,10
35,400;74,78;76,01;79,10
35,450;74,78;76,01;79,10
35,500;74,78;76,01;79,10
35,550;74,77;76,01;79,09
35,600;74,78;76,01;79,09
35,650;74,77;76,01;79,09
35,700;74,77;76,01;79,09
35,750;74,77;76,01;79,09
35,800;74,77;76,01;79,09
35,850;74,77;76,01;79,09
35,900;74,76;76,01;79,09
35,950;74,77;76,01;79,09
36,000;74,77;76,01;79,09
36,050;74,76;76,01;79,08
36,100;74,76;76,01;79,09
36,150;74,76;76,01;79,09
36,200;74,75;76,01;79,08
36,250;74,75;76,01;79,08
36,300;74,75;76,01;79,08
36,350;74,76;76,02;79,08
36,400;74,75;76,01;79,08
36,450;74,75;76,01;79,07
36,500;74,75;76,02;79,08
36,550;74,75;76,02;79,07
36,600;74,75;76,01;79,08
36,650;74,75;76,02;79,07
36,700;74,75;76,01;79,07
36,750;74,75;76,01;79,07
36,800;74,74;76,02;79,07
36,850;74,74;76,01;79,07
36,900;74,74;76,01;79,06
36,950;74,74;76,02;79,06
37,000;74,74;76,01;79,06
37,050;74,74;76,01;79,06
37,100;74,74;76,01;79,06
37,150;74,73;76,01;79,06
37,200;74,74;76,02;79,06
37,250;74,73;76,02;79,05
37,300;74,73;76,01;79,05
37,350;74,73;76,01;79,05
37,400;74,73;76,02;79,05
37,450;74,73;76,01;79,05
37,500;74,73;76,01;79,05
37,550;74,73;76,01;79,05
37,600;74,73;76,01;79,05
37,650;74,72;76,01;79,04
37,700;74,73;76,01;79,04
37,750;74,72;76,01;79,04
37,800;74,72;76,01;79,04
37,850;74,72;76,01;79,04
37,900;74,72;76,01;79,04
37,950;74,72;76,01;79,04
38,000;74,72;76,01;79,04
38,050;74,72;76,00;79,03
38,100;74,72;76,00;79,03
38,150;74,72;76,00;79,03
38,200;74,71;76,00;79,03
38,250;74,71;76,00;79,03
38,300;74,71;76,00;79,02
38,350;74,71;75,99;79,03
38,400;74,71;76,00;79,02
38,450;74,71;75,99;79,02
38,500;74,71;75,99;79,02
38,550;74,71;75,99;79,02
38,600;74,71;75,99;79,02
38,650;74,71;75,99;79,02
38,700;74,71;75,99;79,02
38,750;74,71;75,99;79,02
38,800;74,70;75,98;79,01
38,850;74,70;75,98;79,01
38,900;74,70;75,98;79,01
38,950;74,70;75,98;79,00
39,000;74,70;75,97;79,00
39,050;74,70;75,97;79,00
