"Time (s) Run #2";"Temperature 1 (°C) Run #2";"Temperature 2 (°C) Run #2";"Temperature 3 (°C) Run #2";"Time (s) Run #3";"Temperature 1 (°C) Run #3";"Temperature 2 (°C) Run #3";"Temperature 3 (°C) Run #3"
17,700;79,66;80,33;77,89;17,700;80,81;78,90;77,92
17,750;79,66;80,33;77,88;17,750;80,81;78,90;77,93
17,800;79,66;80,33;77,86;17,800;80,81;78,89;77,93
17,850;79,66;80,33;77,86;17,850;80,81;78,89;77,93
17,900;79,66;80,33;77,85;17,900;80,81;78,90;77,93
17,950;79,66;80,33;77,83;17,950;80,81;78,89;77,93
18,000;79,66;80,33;77,82;18,000;80,81;78,89;77,93
18,050;79,66;80,32;77,81;18,050;80,81;78,89;77,93
18,100;79,66;80,32;77,80;18,100;80,81;78,89;77,93
18,150;79,66;80,32;77,79;18,150;80,81;78,89;77,94
18,200;79,66;80,32;77,78;18,200;80,81;78,89;77,93
18,250;79,66;80,32;77,77;18,250;80,81;78,89;77,94
18,300;79,66;80,31;77,76;18,300;80,81;78,89;77,94
18,350;79,66;80,31;77,74;18,350;80,81;78,89;77,94
18,400;79,66;80,31;77,74;18,400;80,81;78,89;77,94
18,450;79,66;80,31;77,73;18,450;80,81;78,89;77,94
18,500;79,66;80,30;77,72;18,500;80,82;78,89;77,94
18,550;79,66;80,30;77,71;18,550;80,82;78,88;77,94
18,600;79,66;80,30;77,70;18,600;80,82;78,88;77,94
18,650;79,66;80,29;77,69;18,650;80,82;78,89;77,94
18,700;79,66;80,29;77,68;18,700;80,82;78,88;77,94
18,750;79,66;80,29;77,67;18,750;80,82;78,88;77,94
18,800;79,66;80,29;77,67;18,800;80,82;78,88;77,94
18,850;79,66;80,29;77,66;18,850;80,82;78,88;77,94
18,900;79,66;80,29;77,65;18,900;80,83;78,88;77,94
18,950;79,66;80,28;77,64;18,950;80,83;78,88;77,94
19,000;79,66;80,28;77,64;19,000;80,83;78,88;77,95
19,050;79,65;80,28;77,63;19,050;80,83;78,88;77,94
19,100;79,66;80,28;77,62;19,100;80,83;78,88;77,94
19,150;79,65;80,28;77,62;19,150;80,83;78,88;77,94
19,200;79,65;80,29;77,62;19,200;80,83;78,88;77,94
19,250;79,65;80,29;77,61;19,250;80,83;78,88;77,94
19,300;79,65;80,29;77,61;19,300;80,83;78,87;77,94
19,350;79,65;80,29;77,60;19,350;80,83;78,88;77,95
19,400;79,65;80,29;77,60;19,400;80,83;78,87;77,94
19,450;79,65;80,30;77,59;19,450;80,83;78,87;77,94
19,500;79,65;80,30;77,59;19,500;80,83;78,87;77,94
19,550;79,65;80,30;77,58;19,550;80,83;78,87;77,95
19,600;79,65;80,31;77,58;19,600;80,83;78,87;77,94
19,650;79,64;80,31;77,58;19,650;80,82;78,87;77,94
19,700;79,64;80,31;77,57;19,700;80,82;78,87;77,95
19,750;79,64;80,32;77,57;19,750;80,82;78,87;77,94
19,800;79,65;80,32;77,57;19,800;80,82;78,87;77,94
19,850;79,64;80,33;77,57;19,850;80,82;78,87;77,94
19,900;79,64;80,33;77,57;19,900;80,82;78,87;77,94
19,950;79,64;80,34;77,56;19,950;80,81;78,87;77,94
20,000;79,64;80,34;77,57;20,000;80,82;78,87;77,95
20,050;79,64;80,35;77,56;20,050;80,81;78,87;77,95
20,100;79,64;80,35;77,56;20,100;80,81;78,87;77,94
20,150;79,64;80,35;77,56;20,150;80,81;78,87;77,94
20,200;79,63;80,36;77,56;20,200;80,80;78,87;77,94
20,250;79,64;80,37;77,56;20,250;80,80;78,87;77,94
20,300;79,64;80,37;77,56;20,300;80,80;78,87;77,95
20,350;79,64;80,37;77,56;20,350;80,79;78,87;77,95
20,400;79,64;80,38;77,56;20,400;80,80;78,86;77,94
20,450;79,63;80,38;77,56;20,450;80,79;78,87;77,95
20,500;79,64;80,39;77,56;20,500;80,79;78,86;77,95
20,550;79,64;80,38;77,56;20,550;80,79;78,87;77,95
20,600;79,63;80,39;77,56;20,600;80,78;78,86;77,95
20,650;79,63;80,40;77,56;20,650;80,78;78,87;77,95
20,700;79,63;80,40;77,56;20,700;80,78;78,86;77,95
20,750;79,64;80,40;77,56;20,750;80,78;78,86;77,95
20,800;79,64;80,40;77,56;20,800;80,77;78,86;77,95
